twitch_id,twitch_username,discord_id,discord_username,ntsc_pb,ntsc_pb_updated_at,pal_pb,pal_pb_updated_at,country_code,country
271367094,wannabetetrispro,,,580000,,,,,
275028067,zach_blizzard,,,449440,,,,,
113440570,averso_,,,524700,,,,,
72880446,beadle111,,,376985,2019-10-06T00:19:08.261361+00:00,,,,
93203282,mastergabe1295,,,400000,,,,,
142381868,stukontruk,,,380916,2019-10-20T00:46:36.448741+00:00,,,USA,United States of America
86925178,drjules13,,,597980,2020-01-19T22:59:04.182092+00:00,,,,
256755292,chrissyfordtwitch,,,1067205,2019-11-06T01:32:01.025527+00:00,,,,
70412570,cypressshepard,,,374543,2019-11-20T23:49:45.377492+00:00,,,,
44466948,whompronnie,175687301811142657,,515280,2019-10-22T21:04:49.943807+00:00,,,USA,United States of America
64033726,kirby703,214221392340713472,Kirby703,832560,2019-10-06T04:17:34.707268+00:00,,,USA,United States of America
149068958,galoomba_,253227815338508289,galoomba,1214840,2019-10-22T18:56:08.077478+00:00,635540,2019-10-22T18:55:55.500533+00:00,SVN,Slovenia
89587544,professor_l,125766550035759104,Professor L,1060680,2020-01-04T17:31:16.092782+00:00,,,USA,United States of America
113546852,dexfore,237426489505742848,Dumbo52,877200,2019-12-16T23:23:52.258358+00:00,,,USA,United States of America
66344620,jakegames2,178714383302656002,J²,1356605,2020-02-03T03:48:40.951364+00:00,746840,2020-01-15T21:11:40.333060+00:00,CAN,Canada
147862423,vandweller,411395555462348800,vandweller,616160,2020-01-25T20:25:20.072392+00:00,396640,2020-01-12T16:17:35.616646+00:00,USA,United States of America
96204081,kofiow,247549874592153602,Kofi,1113880,2019-12-26T16:16:56.161900+00:00,,,MDV,Maldives
61079997,oktopuse,236640907494031362,oktopuse,875040,2019-12-27T23:55:09.637178+00:00,482520,2019-09-15T18:59:20.316884+00:00,USA,United States of America
236977555,tegamech,95204045379080192,MegaTech,1058081,2019-12-02T11:17:46.860380+00:00,696780,2020-01-02T06:49:20.808953+00:00,SWE,Sweden
134547965,tristop,240196824902664192,Tristop,1100060,2020-01-24T22:28:51.387841+00:00,0,2019-10-03T14:47:33.188613+00:00,USA,United States of America
58330529,moodeuce,167612761734381568,moodeuce,981780,2020-01-12T00:28:41.441978+00:00,645694,2020-01-06T08:38:46.777099+00:00,AUS,Australia
135425584,hydrantdude8,270605669688803329,HydrantDude,1201320,2020-01-26T00:10:14.281891+00:00,530539,2020-01-18T07:38:00.912948+00:00,USA,United States of America
46243996,rexion_,440626721641857024,Rexion,699180,2020-02-02T01:17:30.274535+00:00,,,AUS,Australia
141684772,de__martian,220344188271591424,De Martian,801464,2019-09-07T22:47:54.426759+00:00,451280,2019-09-16T17:29:27.311756+00:00,USA,United States of America
,,318164659251445761,OeufMeansEgg,1056679,2019-09-08T02:26:40.775214+00:00,,,USA,United States of America
67465287,danqztwitch,133236206375927808,QZ,830000,2020-01-16T01:15:00.699689+00:00,0,2020-01-06T23:29:09.679164+00:00,USA,United States of America
49519823,treylorswift,,,999999,2019-09-08T02:51:36.333463+00:00,,,,
36728203,grzechooo,168722887698677761,gggggg,489280,2019-09-08T02:51:37.986841+00:00,422860,2019-09-09T02:55:26.893101+00:00,VAT,Holy See
,,91014507471589376,rensuchan,442140,2019-09-08T02:52:46.496586+00:00,,,USA,United States of America
434395363,silverrr_g,392856174036516864,Silver G,955924,2019-12-18T04:37:14.272125+00:00,,,CAN,Canada
171537088,kingsman36,548672719248424961,Kingsman,534042,2019-11-24T17:35:28.968879+00:00,,,USA,United States of America
415530948,mistec43,546485843423002624,mistec43,453440,,0,2019-10-06T17:58:25.840181+00:00,USA,United States of America
405653211,cheez_fish,529525071392407570,CheeZ_Fish,999999,2020-01-02T07:21:53.520598+00:00,689185,2019-12-06T03:12:22.773234+00:00,USA,United States of America
127165710,b14nk17,188863367195262976,B14NK,1071940,2020-01-05T00:20:00.053330+00:00,,,USA,United States of America
39676411,roncli,84481289050152960,roncli,536132,2019-09-08T05:54:49.026587+00:00,,,USA,United States of America
173771641,terhoa,433723442106466304,-JJ,826640,2019-12-29T19:29:02.927083+00:00,652700,2019-10-03T14:43:37.416899+00:00,FIN,Finland
268938592,z_wing_,519797906811912192,Z Wing,790440,2020-01-18T16:53:57.182541+00:00,,,USA,United States of America
